geoid,name,B01003001,"B01003001, Error"
14000US06073008600,"Census Tract 86, San Diego, CA",6860,590
14000US06073008701,"Census Tract 87.01, San Diego, CA",3336,386
14000US06073008702,"Census Tract 87.02, San Diego, CA",5080,399
14000US06073008800,"Census Tract 88, San Diego, CA",7222,634
14000US06073008901,"Census Tract 89.01, San Diego, CA",4930,478
14000US06073008902,"Census Tract 89.02, San Diego, CA",2110,229
14000US06073009000,"Census Tract 90, San Diego, CA",4432,406
14000US06073009101,"Census Tract 91.01, San Diego, CA",5710,464
14000US06073009102,"Census Tract 91.02, San Diego, CA",3506,314
14000US06073009103,"Census Tract 91.03, San Diego, CA",3574,262
14000US06073009104,"Census Tract 91.04, San Diego, CA",3076,207
14000US06073009106,"Census Tract 91.06, San Diego, CA",4634,366
14000US06073009107,"Census Tract 91.07, San Diego, CA",4604,473
14000US06073009201,"Census Tract 92.01, San Diego, CA",5668,486
14000US06073009202,"Census Tract 92.02, San Diego, CA",5726,449
14000US06073009301,"Census Tract 93.01, San Diego, CA",4860,371
14000US06073009304,"Census Tract 93.04, San Diego, CA",8582,855
14000US06073009305,"Census Tract 93.05, San Diego, CA",4972,492
14000US06073009306,"Census Tract 93.06, San Diego, CA",5678,663
14000US06073009400,"Census Tract 94, San Diego, CA",5110,500
14000US06073009502,"Census Tract 95.02, San Diego, CA",3995,326
14000US06073009504,"Census Tract 95.04, San Diego, CA",6491,259
14000US06073009505,"Census Tract 95.05, San Diego, CA",7160,669
14000US06073009506,"Census Tract 95.06, San Diego, CA",4316,247
14000US06073009507,"Census Tract 95.07, San Diego, CA",3498,283
14000US06073009509,"Census Tract 95.09, San Diego, CA",4018,474
14000US06073009510,"Census Tract 95.10, San Diego, CA",4780,450
14000US06073009511,"Census Tract 95.11, San Diego, CA",4418,273
14000US06073009602,"Census Tract 96.02, San Diego, CA",3870,248
14000US06073009603,"Census Tract 96.03, San Diego, CA",5097,374
14000US06073009604,"Census Tract 96.04, San Diego, CA",3767,439
14000US06073009703,"Census Tract 97.03, San Diego, CA",3490,320
14000US06073009704,"Census Tract 97.04, San Diego, CA",5817,326
14000US06073009705,"Census Tract 97.05, San Diego, CA",3833,270
14000US06073009706,"Census Tract 97.06, San Diego, CA",7260,716
14000US06073009801,"Census Tract 98.01, San Diego, CA",5130,301
14000US06073009802,"Census Tract 98.02, San Diego, CA",6352,493
14000US06073009804,"Census Tract 98.04, San Diego, CA",4630,271
14000US06073009805,"Census Tract 98.05, San Diego, CA",4833,261
14000US06073009901,"Census Tract 99.01, San Diego, CA",808,154
14000US06073009902,"Census Tract 99.02, San Diego, CA",0,12
14000US06073010001,"Census Tract 100.01, San Diego, CA",3597,346
14000US06073010003,"Census Tract 100.03, San Diego, CA",6390,501
14000US06073010004,"Census Tract 100.04, San Diego, CA",4654,415
14000US06073010005,"Census Tract 100.05, San Diego, CA",7939,727
14000US06073010009,"Census Tract 100.09, San Diego, CA",7173,485
14000US06073010010,"Census Tract 100.10, San Diego, CA",5764,392
14000US06073010011,"Census Tract 100.11, San Diego, CA",4238,325
14000US06073010012,"Census Tract 100.12, San Diego, CA",5229,423
14000US06073010013,"Census Tract 100.13, San Diego, CA",5844,525
14000US06073010014,"Census Tract 100.14, San Diego, CA",20851,1186
14000US06073010015,"Census Tract 100.15, San Diego, CA",2872,198
14000US06073010103,"Census Tract 101.03, San Diego, CA",6574,467
14000US06073010104,"Census Tract 101.04, San Diego, CA",3625,330
14000US06073010106,"Census Tract 101.06, San Diego, CA",6369,354
14000US06073010107,"Census Tract 101.07, San Diego, CA",6864,535
14000US06073010109,"Census Tract 101.09, San Diego, CA",5016,383
14000US06073010110,"Census Tract 101.10, San Diego, CA",8674,754
14000US06073010111,"Census Tract 101.11, San Diego, CA",3488,318
14000US06073010112,"Census Tract 101.12, San Diego, CA",4979,452
14000US06073010502,"Census Tract 105.02, San Diego, CA",5891,446
14000US06073010601,"Census Tract 106.01, San Diego, CA",2623,324
14000US06073011300,"Census Tract 113, San Diego, CA",2913,515
14000US06073011802,"Census Tract 118.02, San Diego, CA",7688,652
14000US06073011902,"Census Tract 119.02, San Diego, CA",5631,471
14000US06073013205,"Census Tract 132.05, San Diego, CA",2392,235
14000US06073013206,"Census Tract 132.06, San Diego, CA",7202,733
14000US06073013308,"Census Tract 133.08, San Diego, CA",3765,581
14000US06073013313,"Census Tract 133.13, San Diego, CA",14371,1011
14000US06073013314,"Census Tract 133.14, San Diego, CA",19151,1228
14000US06073013419,"Census Tract 134.19, San Diego, CA",8331,516
14000US06073014102,"Census Tract 141.02, San Diego, CA",4017,284
14000US06073014700,"Census Tract 147, San Diego, CA",8044,598
14000US06073016606,"Census Tract 166.06, San Diego, CA",4066,296
14000US06073017006,"Census Tract 170.06, San Diego, CA",2848,132
14000US06073017014,"Census Tract 170.14, San Diego, CA",2447,155
14000US06073017015,"Census Tract 170.15, San Diego, CA",7818,407
14000US06073017018,"Census Tract 170.18, San Diego, CA",4802,408
14000US06073017019,"Census Tract 170.19, San Diego, CA",5977,345
14000US06073017020,"Census Tract 170.20, San Diego, CA",3753,255
14000US06073017022,"Census Tract 170.22, San Diego, CA",5812,406
14000US06073017029,"Census Tract 170.29, San Diego, CA",8964,760
14000US06073017030,"Census Tract 170.30, San Diego, CA",20209,939
14000US06073017031,"Census Tract 170.31, San Diego, CA",3854,245
14000US06073017032,"Census Tract 170.32, San Diego, CA",14056,958
14000US06073017033,"Census Tract 170.33, San Diego, CA",4823,214
14000US06073017034,"Census Tract 170.34, San Diego, CA",5291,311
14000US06073017035,"Census Tract 170.35, San Diego, CA",2893,238
14000US06073017036,"Census Tract 170.36, San Diego, CA",3576,223
14000US06073017037,"Census Tract 170.37, San Diego, CA",5877,317
14000US06073017039,"Census Tract 170.39, San Diego, CA",7482,389
14000US06073017042,"Census Tract 170.42, San Diego, CA",7660,540
14000US06073017043,"Census Tract 170.43, San Diego, CA",6611,399
14000US06073017044,"Census Tract 170.44, San Diego, CA",5705,343
14000US06073017045,"Census Tract 170.45, San Diego, CA",2778,109
14000US06073017046,"Census Tract 170.46, San Diego, CA",3680,231
14000US06073017047,"Census Tract 170.47, San Diego, CA",4052,186
14000US06073017051,"Census Tract 170.51, San Diego, CA",4570,416
14000US06073017052,"Census Tract 170.52, San Diego, CA",5218,462
14000US06073017055,"Census Tract 170.55, San Diego, CA",5298,308
14000US06073017056,"Census Tract 170.56, San Diego, CA",4466,432
14000US06073017106,"Census Tract 171.06, San Diego, CA",4867,556
14000US06073017110,"Census Tract 171.10, San Diego, CA",11377,893
14000US06073017304,"Census Tract 173.04, San Diego, CA",6232,373
14000US06073017306,"Census Tract 173.06, San Diego, CA",2764,292
14000US06073020401,"Census Tract 204.01, San Diego, CA",2329,174
14000US06073020706,"Census Tract 207.06, San Diego, CA",6359,387
14000US06073020709,"Census Tract 207.09, San Diego, CA",8036,525
14000US06073020710,"Census Tract 207.10, San Diego, CA",1638,95
14000US06073020801,"Census Tract 208.01, San Diego, CA",5349,416
14000US06073020807,"Census Tract 208.07, San Diego, CA",2756,310
14000US06073021302,"Census Tract 213.02, San Diego, CA",7999,859
14000US06073021304,"Census Tract 213.04, San Diego, CA",2545,209
14000US06073021400,"Census Tract 214, San Diego, CA",6963,522
14000US06073021500,"Census Tract 215, San Diego, CA",8860,496
14000US06073021600,"Census Tract 216, San Diego, CA",3669,376
14000US06073990100,"Census Tract 9901, San Diego, CA",0,12
16000US0666000,"San Diego, CA",1374812,108
